year,dhw,site_name
2018,2.38,Eastern Sambo Deep
2019,2.91,Eastern Sambo Deep
2020,4.04,Eastern Sambo Deep
2021,2.71,Eastern Sambo Deep
2022,6.04,Eastern Sambo Deep
2023,17.54,Eastern Sambo Deep
2024,9.66,Eastern Sambo Deep
2025,8.39,Eastern Sambo Deep
1986,0,Western Sambo Deep
1987,0.34,Western Sambo Deep
1988,0,Western Sambo Deep
1989,0,Western Sambo Deep
1990,0,Western Sambo Deep
1991,1.64,Western Sambo Deep
1992,0,Western Sambo Deep
1993,0.81,Western Sambo Deep
1994,0,Western Sambo Deep
1995,0,Western Sambo Deep
1996,0,Western Sambo Deep
1997,3.81,Western Sambo Deep
1998,2.09,Western Sambo Deep
1999,1.53,Western Sambo Deep
2000,0.69,Western Sambo Deep
2001,0,Western Sambo Deep
2002,0,Western Sambo Deep
2003,0.46,Western Sambo Deep
2004,0.87,Western Sambo Deep
2005,4.78,Western Sambo Deep
2006,0.14,Western Sambo Deep
2007,4.87,Western Sambo Deep
2008,0.44,Western Sambo Deep
2009,1.5,Western Sambo Deep
2010,2.97,Western Sambo Deep
2011,5.16,Western Sambo Deep
2012,0.74,Western Sambo Deep
2013,0,Western Sambo Deep
2014,5.55,Western Sambo Deep
2015,7.24,Western Sambo Deep
2016,2.59,Western Sambo Deep
2017,1.76,Western Sambo Deep
2018,2.4,Western Sambo Deep
2019,3.08,Western Sambo Deep
2020,4.24,Western Sambo Deep
2021,3.2,Western Sambo Deep
2022,6.38,Western Sambo Deep
2023,17.72,Western Sambo Deep
2024,9.92,Western Sambo Deep
2025,8.24,Western Sambo Deep
1986,0,Wonderland
1987,0.36,Wonderland
1988,0,Wonderland
1989,0,Wonderland
1990,0,Wonderland
1991,1.83,Wonderland
1992,0,Wonderland
1993,0.79,Wonderland
1994,0,Wonderland
1995,0,Wonderland
1996,0,Wonderland
1997,4.06,Wonderland
1998,2.07,Wonderland
1999,1.87,Wonderland
2000,1.05,Wonderland
2001,0,Wonderland
2002,0,Wonderland
2003,0.6,Wonderland
2004,2.38,Wonderland
2005,6.27,Wonderland
2006,0,Wonderland
2007,7.41,Wonderland
2008,0.3,Wonderland
2009,3.85,Wonderland
2010,5.34,Wonderland
2011,5.7,Wonderland
2012,1.31,Wonderland
2013,0,Wonderland
2014,6.42,Wonderland
2015,7.71,Wonderland
2016,4.74,Wonderland
2017,3.12,Wonderland
2018,3.7,Wonderland
2019,6.01,Wonderland
2020,7.28,Wonderland
2021,4.19,Wonderland
2022,7.93,Wonderland
2023,20.19,Wonderland
2024,10.52,Wonderland
2025,10.58,Wonderland
1986,0,Red Dun Reef
1987,0.34,Red Dun Reef
1988,0,Red Dun Reef
1989,0,Red Dun Reef
1990,0,Red Dun Reef
1991,1.82,Red Dun Reef
1992,0,Red Dun Reef
1993,0.94,Red Dun Reef
1994,0,Red Dun Reef
1995,0,Red Dun Reef
1996,0,Red Dun Reef
1997,4.02,Red Dun Reef
1998,2.11,Red Dun Reef
1999,1.68,Red Dun Reef
2000,0.86,Red Dun Reef
2001,0,Red Dun Reef
2002,0,Red Dun Reef
2003,0.62,Red Dun Reef
2004,1.39,Red Dun Reef
2005,5.56,Red Dun Reef
2006,0,Red Dun Reef
2007,6.7,Red Dun Reef
2008,0.46,Red Dun Reef
2009,2.67,Red Dun Reef
2010,4,Red Dun Reef
2011,5.51,Red Dun Reef
2012,0.98,Red Dun Reef
2013,0,Red Dun Reef
2014,6.1,Red Dun Reef
2015,7.81,Red Dun Reef
2016,3.86,Red Dun Reef
2017,2.43,Red Dun Reef
2018,3.14,Red Dun Reef
2019,4.91,Red Dun Reef
2020,5.81,Red Dun Reef
2021,4,Red Dun Reef
2022,7.13,Red Dun Reef
2023,19,Red Dun Reef
2024,10.81,Red Dun Reef
2025,9.28,Red Dun Reef
1986,0,West Washer Women
1987,0.35,West Washer Women
1988,0,West Washer Women
1989,0,West Washer Women
1990,0,West Washer Women
1991,1.8,West Washer Women
1992,0,West Washer Women
1993,0.93,West Washer Women
1994,0,West Washer Women
1995,0,West Washer Women
1996,0,West Washer Women
1997,4,West Washer Women
1998,2.07,West Washer Women
1999,1.71,West Washer Women
2000,0.72,West Washer Women
2001,0,West Washer Women
2002,0,West Washer Women
2003,0.3,West Washer Women
2004,1.43,West Washer Women
2005,4.98,West Washer Women
2006,0,West Washer Women
2007,6.01,West Washer Women
2008,0.29,West Washer Women
2009,2.15,West Washer Women
2010,3.76,West Washer Women
2011,5.43,West Washer Women
2012,0.8,West Washer Women
2013,0,West Washer Women
2014,5.68,West Washer Women
2015,7.08,West Washer Women
2016,3.9,West Washer Women
2017,2.21,West Washer Women
2018,3.15,West Washer Women
2019,4.92,West Washer Women
2020,5.66,West Washer Women
2021,3.7,West Washer Women
2022,7.19,West Washer Women
2023,18.71,West Washer Women
2024,10.26,West Washer Women
2025,9.34,West Washer Women
1986,0,Davis Rock
1987,0.3,Davis Rock
1988,0,Davis Rock
1989,0,Davis Rock
1990,0,Davis Rock
1991,1.55,Davis Rock
1992,0,Davis Rock
1993,0.46,Davis Rock
1994,0,Davis Rock
1995,0,Davis Rock
1996,0,Davis Rock
1997,3.89,Davis Rock
1998,2.58,Davis Rock
1999,1.49,Davis Rock
2000,0.73,Davis Rock
2001,0,Davis Rock
2002,0,Davis Rock
2003,0,Davis Rock
2004,0.45,Davis Rock
2005,0.46,Davis Rock
2006,0,Davis Rock
2007,0.97,Davis Rock
2008,0,Davis Rock
2009,0.85,Davis Rock
2010,1,Davis Rock
2011,3.97,Davis Rock
2012,0,Davis Rock
2013,0,Davis Rock
2014,3.37,Davis Rock
2015,6.27,Davis Rock
2016,0,Davis Rock
2017,0.33,Davis Rock
2018,0,Davis Rock
2019,1.7,Davis Rock
2020,0.91,Davis Rock
2021,0.3,Davis Rock
2022,3.64,Davis Rock
2023,14.4,Davis Rock
2024,6.48,Davis Rock
2025,6.42,Davis Rock
1986,0,Texas Rock
1987,0.15,Texas Rock
1988,0,Texas Rock
1989,0,Texas Rock
1990,0,Texas Rock
1991,1.58,Texas Rock
1992,0,Texas Rock
1993,0.46,Texas Rock
1994,0,Texas Rock
1995,0,Texas Rock
1996,0,Texas Rock
1997,3.95,Texas Rock
1998,2.61,Texas Rock
1999,1.8,Texas Rock
2000,0.74,Texas Rock
2001,0,Texas Rock
2002,0,Texas Rock
2003,0,Texas Rock
2004,0.29,Texas Rock
2005,1.06,Texas Rock
2006,0,Texas Rock
2007,1.29,Texas Rock
2008,0,Texas Rock
2009,0.86,Texas Rock
2010,1,Texas Rock
2011,3.99,Texas Rock
2012,0,Texas Rock
2013,0,Texas Rock
2014,4.03,Texas Rock
2015,6.41,Texas Rock
2016,0,Texas Rock
2017,0.33,Texas Rock
2018,0,Texas Rock
2019,1.73,Texas Rock
2020,0.93,Texas Rock
2021,0.6,Texas Rock
2022,3.69,Texas Rock
2023,14.86,Texas Rock
2024,6.24,Texas Rock
2025,6.42,Texas Rock
1986,0,Mayer's Peak
1987,0.3,Mayer's Peak
1988,0,Mayer's Peak
1989,0,Mayer's Peak
1990,0,Mayer's Peak
1991,1.54,Mayer's Peak
1992,0,Mayer's Peak
1993,0.31,Mayer's Peak
1994,0,Mayer's Peak
1995,0,Mayer's Peak
1996,0,Mayer's Peak
1997,3.92,Mayer's Peak
1998,2.6,Mayer's Peak
1999,1.8,Mayer's Peak
2000,0.73,Mayer's Peak
2001,0,Mayer's Peak
2002,0,Mayer's Peak
2003,0.14,Mayer's Peak
2004,0.45,Mayer's Peak
2005,0.75,Mayer's Peak
2006,0,Mayer's Peak
2007,0.8,Mayer's Peak
2008,0,Mayer's Peak
2009,0.86,Mayer's Peak
2010,1,Mayer's Peak
2011,4.04,Mayer's Peak
2012,0,Mayer's Peak
2013,0,Mayer's Peak
2014,3.56,Mayer's Peak
2015,6.53,Mayer's Peak
2016,0,Mayer's Peak
2017,0.47,Mayer's Peak
2018,0,Mayer's Peak
2019,1.68,Mayer's Peak
2020,0.92,Mayer's Peak
2021,0.46,Mayer's Peak
2022,3.73,Mayer's Peak
2023,14.27,Mayer's Peak
2024,6.71,Mayer's Peak
2025,6.61,Mayer's Peak
1986,0,Temptation Rock
1987,0.3,Temptation Rock
1988,0,Temptation Rock
1989,0,Temptation Rock
1990,0,Temptation Rock
1991,1.54,Temptation Rock
1992,0,Temptation Rock
1993,0.31,Temptation Rock
1994,0,Temptation Rock
1995,0,Temptation Rock
1996,0,Temptation Rock
1997,3.92,Temptation Rock
1998,2.6,Temptation Rock
1999,1.8,Temptation Rock
2000,0.73,Temptation Rock
2001,0,Temptation Rock
2002,0,Temptation Rock
2003,0.14,Temptation Rock
2004,0.45,Temptation Rock
2005,0.75,Temptation Rock
2006,0,Temptation Rock
2007,0.8,Temptation Rock
2008,0,Temptation Rock
2009,0.86,Temptation Rock
2010,1,Temptation Rock
2011,4.04,Temptation Rock
2012,0,Temptation Rock
2013,0,Temptation Rock
2014,3.56,Temptation Rock
2015,6.53,Temptation Rock
2016,0,Temptation Rock
2017,0.47,Temptation Rock
2018,0,Temptation Rock
2019,1.68,Temptation Rock
2020,0.92,Temptation Rock
2021,0.46,Temptation Rock
2022,3.73,Temptation Rock
2023,14.27,Temptation Rock
2024,6.71,Temptation Rock
